Layer,Vector,Icon ,Project Name ,Location ,Proponent ,Sector ,Status ,Description  ,Coordinates ,Link 
Projects Referred to MPO,Point,Energy (yellow lightning bolt),LNG Canada Phase 2,"Kitimat, British Columbia",LNG Canada ,Energy ,Referred to MPO for consideration ,"This project would double LNG Canada’s production of liquefied natural gas, making it the second largest facility of its kind in the world. It is expected to attract $33B in private-sector capital to Canada, contribute to our GDP growth, and support jobs and economic growth in local communities. It will deliver low-carbon intensity Canadian energy to global markets and help diversify Canada’s trading partners – including those with increasing energy demands in Asia and Europe. The Major Projects Office will ensure that the final work on LNG Canada will create the pathway for other proponents of LNG projects that are strategic to the nation.

Latest updates: 
Budget 2025 proposes major measures to enhance the competitiveness Canadian LNG projects, including LNG Canada Phase 2. This includes amendments to the Canadian Energy Regulator Act to extend the maximum length of LNG export licences from 40 to 50 years, which will provide greater certainty for proponents on their ability to receive returns of their investments for long term.

Budget 2025 proposes reinstating accelerated capital cost allowances (CCAs) for LNG equipment for low-carbon LNG facilities, to incentivise the development of best-in-class emissions intensity LNG. Specifically, facilities that are in the top 25% of emissions performance would be eligible for accelerated CCAs rates of 30% for liquefaction equipment and 10% for associated buildings; and those in the top 10% of emissions performance would be eligible for accelerated CCAs of 50% for liquefaction equipment and 10% for associated buildings used in LNG facilities.","54.006686,    -128.594996 ",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Projects Referred to MPO,Point,Electricity (blue light bulb),North Coast Transmission Line (NCTL) (Phase 1),Northwestern British Columbia,B.C. Hydro,Electricity,Referred to MPO for consideration ,"This project will tie the Northwest Critical Conservation Corridor together, delivering low-cost, clean electricity to local communities along the West Coast. The project would twin with existing transmission lines from Prince George to Terrace, and north up to Bob Quinn substation. By twinning major transmission lines, the NCTL will enable transformative new industrial projects – including the Ksi Lisims LNG facility and critical minerals developments in the Golden Triangle. The added benefit of NCTL would be bolstering telecommunications and electricity access for remote communities in northwestern B.C. while enabling clean growth for critical minerals and export-oriented LNG projects.

According to estimates from B.C., once operational, this project will create thousands of direct full-time careers, generate millions in annual public revenues, and anchor a clean-energy industrial corridor for generations to come. Additionally, it will help to prevent two to three million tonnes of carbon emissions annually, supporting Canada’s climate goals while powering economic growth.

Linked to this vision, the Yukon–B.C. Grid Connect Project will extend the benefits even further north – connecting the Yukon’s isolated electrical grid to the Canadian grid through B.C., increasing the Yukon’s energy security and providing clean power to communities in Canada’s Northwest corridor.","53.852333, -122.612107",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Projects Referred to MPO,Point,Electricity (blue light bulb),North Coast Transmission Line (NCTL) (Phase 2),Northwestern British Columbia,B.C. Hydro,Electricity,Referred to MPO for consideration ,"This project will tie the Northwest Critical Conservation Corridor together, delivering low-cost, clean electricity to local communities along the West Coast. The project would twin with existing transmission lines from Prince George to Terrace, and north up to Bob Quinn substation. By twinning major transmission lines, the NCTL will enable transformative new industrial projects – including the Ksi Lisims LNG facility and critical minerals developments in the Golden Triangle. The added benefit of NCTL would be bolstering telecommunications and electricity access for remote communities in northwestern B.C. while enabling clean growth for critical minerals and export-oriented LNG projects.

According to estimates from B.C., once operational, this project will create thousands of direct full-time careers, generate millions in annual public revenues, and anchor a clean-energy industrial corridor for generations to come. Additionally, it will help to prevent two to three million tonnes of carbon emissions annually, supporting Canada’s climate goals while powering economic growth.

Linked to this vision, the Yukon–B.C. Grid Connect Project will extend the benefits even further north – connecting the Yukon’s isolated electrical grid to the Canadian grid through B.C., increasing the Yukon’s energy security and providing clean power to communities in Canada’s Northwest corridor.","54.073493, -125.013101",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Projects Referred to MPO,Point,Electricity (blue light bulb),North Coast Transmission Line (NCTL) (Phase 3),Northwestern British Columbia,B.C. Hydro,Electricity,Referred to MPO for consideration ,"This project will tie the Northwest Critical Conservation Corridor together, delivering low-cost, clean electricity to local communities along the West Coast. The project would twin with existing transmission lines from Prince George to Terrace, and north up to Bob Quinn substation. By twinning major transmission lines, the NCTL will enable transformative new industrial projects – including the Ksi Lisims LNG facility and critical minerals developments in the Golden Triangle. The added benefit of NCTL would be bolstering telecommunications and electricity access for remote communities in northwestern B.C. while enabling clean growth for critical minerals and export-oriented LNG projects.

According to estimates from B.C., once operational, this project will create thousands of direct full-time careers, generate millions in annual public revenues, and anchor a clean-energy industrial corridor for generations to come. Additionally, it will help to prevent two to three million tonnes of carbon emissions annually, supporting Canada’s climate goals while powering economic growth.

Linked to this vision, the Yukon–B.C. Grid Connect Project will extend the benefits even further north – connecting the Yukon’s isolated electrical grid to the Canadian grid through B.C., increasing the Yukon’s energy security and providing clean power to communities in Canada’s Northwest corridor.","54.454767, -128.633031",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Projects Referred to MPO,Point,Energy (yellow lightning bolt),Ksi Lisims LNG,"Pearse Island, British Columbia","Western LNG, Nisg̱a’a Nation, and Rockies LNG Partners",Energy ,Referred to MPO for consideration ,"Ksi Lisims, a proposed floating natural gas liquefaction and export facility located on the north coast of British Columbia, within the modern treaty territory of the Nisg̱a’a Nation, is being referred to the Major Projects Office. The Project is a partnership between the Nisg̱a’a Nation, Western LNG, and Rockies LNG. Designed to be one of the world’s lowest-emission LNG facilities, Ksi Lisims LNG aims to foster sustainable economic development and lasting prosperity in Canada’s northwest.

Ksi Lisims LNG will become Canada’s second-largest LNG facility and one of the world’s lowest-emission LNG operations once fully electrified, with emissions 94% below the global average. The project is expected to attract nearly $30 billion in investment, create thousands of skilled careers, and strengthen Canada’s position as a global LNG exporter.

On September 15, 2025, the LNG Facility received federal and provincial environmental assessment approvals, in line with the goal of achieving “one-project, one-review.” The project referral also includes the 800-kilometre Prince Rupert Gas Transmission Project to supply feed gas for liquefaction, and a 95-kilometre electrical transmission line to supply electricity to the facility. Ksi Lisims LNG proposes to construct and operate up to two floating liquid natural gas structures which together would export up to 22.4 billion cubic metres per year of natural gas.","55.029227, -130.183967",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Projects Referred to MPO,Point,Mining (brown shovel and axe),Red Chris Mine Expansion ,Northwestern British Columbia,Newmont Mining and Imperial Metals ,Mining ,Referred to MPO for consideration ,"This major expansion project will extend the lifespan of the mine by over a decade, increase Canada’s annual copper production by over 15%, employ about 1,500 workers during operations, with a peak of approximately 1,800 workers during construction, and reduce greenhouse gas emissions by over 70% when operational. Working in close collaboration with the Tahltan Nation, it is an important step in reconciliation and further developing the potential of Northern British Columbia and will strengthen Canada’s role as a reliable supplier of copper and other resources essential for global manufacturing and clean energy technologies. This mine is part of the proposed Northwest Critical Conservation Corridor. This corridor is being moved to the MPO for consideration, as it presents opportunities for critical minerals development, clean power transmission, Indigenous project leadership, and a potential new conservation area the size of Greece.

Latest updates: 
Budget 2025 announced that the government will introduce legislation to expand eligibility for the 30% Clean Technology Manufacturing investment tax credit to include polymetallic mining activities, available retroactively as of January 1, 2024.","57.673096, -129.864972 ",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Projects Referred to MPO,Point,Electricity (blue light bulb),Iqaluit Nukkiksautiit Hydro Project,"Iqaluit, Nunavut",Nunavut Nukkiksautiit Corporation,Electricity,Referred to MPO for consideration ,"The Iqaluit Nukkiksautiit Hydro Project (ᐃᖃᓗᐃᑦᓄᑭᒃᓴᐅᑏᑦᓴᓇᔭᐅᔪᖅ) a 15-30 megawatt conventional hydroelectric facility located on the Kuugaluk river, 60 kilometres outside of Iqaluit, Nunavut. This project is led by Nunavut Nukkiksautiit Corporation, Nunavut’s first 100% Inuit-owned renewable energy developer. The Iqaluit Nukkiksautiit Hydro Project would displace the City of Iqaluit’s current use of diesel-generated electricity with affordable, reliable and emissions-free power.

Iqaluit currently relies on imported diesel fuel for electricity generation, equivalent to 15 million litres annually, producing an estimated 130,000 tonnes of greenhouse gas emissions annually. The project will help to stabilize Iqaluit electricity rates that have increased more than 22% in the last five years. The Project supports Indigenous-led energy transition, economic reconciliation, advances Inuit self-determination, and supports Inuit-led priorities. Regular engagement with Rights-holders and impacted groups continues to occur at every project decision.","64.187831, -68.006091",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Projects Referred to MPO,Point,Critical minerals (green gemstone),Nouveau Monde Graphite’s Matawinie Mine,"Saint-Michel-des-Saints, Quebec",Nouveau Monde Graphite,"Mining, Critical Minerals",Referred to MPO for consideration ,"Nouveau Monde Graphite is developing an open pit graphite mine that will be integrated with a planned Battery Material Plant to produce spherical graphite for batteries and other advanced manufacturing applications. Operations will bolster the emerging battery hub in Bécancour, Québec, while potentially unlocking future graphite opportunities across Canada. It will create over one thousand new careers, and draw $1.8 billion in investment.

Graphite is an essential component of defence applications and electric vehicle and energy storage system batteries, and a key material for decarbonising the transportation sector. The project, powered by Québec's affordable clean hydropower, will also help diversify global graphite supplies away from carbon-intensive supply chains. Nouveau Monde also plans to eventually transition to a zero-emission fleet at the mine site.

This builds on investments – including more than $35 million from the Canada Growth Fund, a letter of interest from the Canada Infrastructure Bank and a letter of interest for up to US$430 million from Export Development Canada – and additional contributions from Japanese companies Panasonic Energy and Mitsui & Co., to support the company in its journey to create the largest fully-integrated natural graphite process from mining to industrial use products.","46.617537, -73.921692",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Projects Referred to MPO,Point,Energy (yellow lightning bolt),Darlington New Nuclear Project ,"Bowmanville, Ontario",Ontario Power Generation ,Energy ,Referred to MPO for consideration ,"This project will make Canada the first G7 country to have an operational small modular reactor (SMR). Once complete, Darlington’s first of four planned SMR units would provide reliable, affordable, clean power to 300,000 homes, while supporting 200 high-paying jobs – in addition to 1,600 jobs during construction. The project has the potential to position Canada as a global leader in SMR technology for use across the country and for export as early as 2030.

Latest updates: 
Since September, Canada Growth Fund (CGF) and Building Ontario Fund (BOF) have announced an up to $3 billion equity commitment to finance the Darlington New Nuclear Project: up to $2 billion from CGF and up to $1 billion from the BOF. The projects will be majority owned and operated by Ontario Power Generation, but this investment will de-risk the construction and operation of these first-of-a-kind SMRs with unique and innovative financial arrangements to temporarily share certain risks that limit private sector interest today. This investment will pave the way to spur private sector and Indigenous investment in the Darlington New Nuclear Project over time.

Budget 2025 announced the Government of Canada’s intention to legislate the Clean Electricity Investment Tax Credit, which is a refundable credit equal to 15% of the capital cost of eligible investments in equipment related to low-emitting electricity generation – like nuclear equipment.","43.87324, -78.705623 ",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Projects Referred to MPO,Point,Industrial (purple building),Contrecoeur Terminal Container Project ,"Contrecoeur, Quebec",Montréal Port Authority ,Industrial ,Referred to MPO for consideration ,"This project will expand the Port of Montreal’s container capacity by approximately 60%, to give Canada the trading infrastructure it needs to keep goods moving, meet growing demand, and diversify trade routes. It will deploy AI capabilities to strengthen supply chains, create thousands of jobs, and generate lasting economic benefits across Quebec and Canada.

Latest updates: 
On September 29, 2025, the Major Projects Office, the Canada Infrastructure Bank, and the Montreal Port Authority signed a Memorandum of Understanding (MOU) with the common goal of advancing the Contrecoeur Terminal Expansion. The MOU provides that the parties will work together to finance the project and ensure permitting and regulatory requirements are met on schedule.

Moreover, on October 9, 2025, the Port of Montreal began preparatory work for the expansion and awarded the contract for in-water works of the future container terminal to the CTCGP consortium (Contrecœur Terminal Constructors Grand Project), composed of Pomerleau and Aecon. The Montreal Port Authority has also obtained a permit from Fisheries and Oceans Canada authorizing the implementation of the compensation plan for copper redhorse feeding grounds. The plan was developed in accordance with the Statement of Decision and in consultation with Fisheries and Oceans Canada, Quebec’s Ministry of Forests, Wildlife and Parks, Environment and Climate Change Canada, and First Nations.","45.822674, -73.292881 ",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Projects Referred to MPO,Point,Critical minerals (green gemstone),Canada Nickel’s Crawford Project,"Timmins, Ontario",Canada Nickel Company,"Mining, Critical Minerals",Referred to MPO for consideration ,"This project will serve as an anchor of Canada’s global leadership in clean industrial materials. Located in the world’s second-largest nickel reserve, the Crawford Project will produce high-quality, low-carbon nickel essential for batteries and green steel.

This site has the second-largest nickel reserve in the world and is expected to operate for over 40 years. The project’s carbon emissions are estimated to be nearly 90% lower than the global average and the project has the potential to have a net-negative carbon footprint, representing a model for the future of responsible mining. The project will attract $5 billion in investment and create thousands of good-paying careers, securing Canada’s place at the forefront of the clean economy.

Agreements are signed with the Mattagami, Matachewan, and Flying Post First Nations for early business and employment opportunities which includes commitments for negotiations on contracting opportunities. Also, Taykwa Tagamou Nation has partnered with Canada Nickel to invest $20 million in the Crawford Project. This investment is in the form of convertible notes, which, if exercised, will give Taykwa Tagamou Nation a meaningful equity stake in the project.

Canada Nickel is also proposing, through its NetZero Metals wholly-owned subsidiary, to develop a nickel refinery for the stainless steel and electric vehicle markets, and a stainless steel and alloy production facility.","48.840043, -81.373465",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Projects Referred to MPO,Point,Critical minerals (green gemstone),Northcliff Resources’ Sisson Mine,"Sisson Brook, New Brunswick",Northcliff Resources Ltd.,"Mining, Critical Minerals",Referred to MPO for consideration ,"Tungsten has both civilian and defence applications, such as cutting tools, steel, military munitions, and protective equipment. Global tungsten markets are highly concentrated, and this project has the potential to make Canada a secure supplier for domestic and allied industries.

Canada’s last tungsten mine closed in 2015, and Sisson would revitalise Canada’s production of tungsten, as well as produce molybdenum, which makes steel and superalloys stronger, harder, and more corrosion resistant.","46.365346, -67.045305",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Projects Referred to MPO,Point,Mining (brown shovel and axe),McIlvenna Bay Foran Copper Mine Project,"East-Central, Saskatchewan",Foran Mining ,Mining ,Referred to MPO for consideration ,"This project in one of Canada’s richest mineral belts will supply copper and zinc to strengthen Canada’s position as a global supplier of critical minerals for clean energy, advanced manufacturing, and modern infrastructure. It will create hundreds of jobs, boost local economies, and will be one of the lowest-emission operations of its kind.

Latest updates: 
On October 22, Foran reported that project completion was at approximately 64% and that the project remains on schedule for commercial production in mid-2026 and continues to track to budget.

Budget 2025 proposes to expand eligibility under the 30% Clean Technology Manufacturing Investment Tax Credit to include qualifying equipment used in eligible polymetallic mining projects. These changes would be retroactively available as of January 1, 2024.","54.659069, -102.894977 ",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
Transformative Strategies,Polygon,Highlight ON and QC,Alto High-Speed Rail,Ontario-Quebec Corridor,,Transport,Transformative projects,"Canada’s first high-speed railway, spanning approximately 1,000 km from Toronto to Québec City and reaching speeds of up to 300 km/hour to cut travel times in half and connect close to half of Canada's population. Joining major centres through Canada’s most densely populated areas, this initiative will yield benefits for key government priorities, including:
• Housing: contributing to the housing supply along the route, with a target of 63,000 units.
• Environment: providing a sustainable means of travel, with a target of 25 million tonnes of CO2 emissions savings.
• Job creation: delivering well-paying jobs with a target of 51,000 new jobs over 10 years.

Canada is the only country in the G7 that does not have high-speed rail – to address our looming transportation crisis, Canada has chosen this bold and ambitious solution. The MPO will work to accelerate engineering, regulatory, and permitting work to enable and target the start of project construction in five years.

Latest updates: In Budget 2025, the government proposes to introduce legislation to accelerate the development of Alto high-speed rail.",N/A,https://www.canada.ca/en/privy-council/major-projects-office/projects/other/referred.html
Transformative Strategies,Polygon,Highlight Manitoba,Port of Churchill Plus,Manitoba,,Transport,Transformative projects,"Building upon the leadership of the Arctic Gateway Group, this project will upgrade the Port of Churchill and expand trade corridors with an all-weather road, an upgraded rail line, a new energy corridor, and marine ice-breaking capacity. The transformative strategy would prioritize Indigenous equity ownership, through a new Manitoba Crown Indigenous Corporation, and develop the projects needed to turn the Port of Churchill in major four season and dual-use gateway to the region. Expanded export capacity in the North through Hudson Bay would contribute to increased and diversified trade with Europe and other partners. The Major Projects Office will work with prospective proponents to bring certainty to the regulatory processes that will attract private and public sources of capital investment and more strongly link Churchill to the rest of Canada.

Latest updates: 
The Major Projects Office has created a business development team to work with the Government of Manitoba, proponents, and Indigenous Peoples to further develop the Port of Churchill Plus transformative strategy. To outline future development work, the Major Projects Office is working with the Government of Manitoba to develop a Project Charter to align efforts on this important initiative.",N/A,https://www.canada.ca/en/privy-council/major-projects-office/projects/other/referred.html
Transformative Strategies,Polygon,Highlight all PTs except PEI,Critical Minerals Strategy,All provinces and territories except for Prince Edward Island,,Mining,Transformative projects,"Canada can be a powerhouse in the extraction and upgrading of critical minerals for industries that can emerge in Canada and to diversify and serve export markets. A priority for the Major Projects Office will be to get more critical minerals projects get to final investment decisions, with a focus on sustainability and regulatory certainty. This will enable critical mineral proponents working with Indigenous and local communities, investors, and provinces and territories to develop projects in regions like the Fosse du Labrador in QC and NL, the Northwest Critical Mineral and Conservation Corridor in BC, and the Ring of Fire in Ontario. The strategy will lead to the construction of ports and roads and focus on the first and last mile. Canada through its leadership at the G7 is also connecting with global partners to develop a Critical Mineral Alliance to match secure supply from projects with global partners who have industry demand. This work seizes opportunities to build new critical mineral value chains for clean technologies and defence applications for example:  developing “mines to magnets” using our rare earth resources and building processing and manufacturing abilities; and refining and processing minerals needed for clean energy and electricity battery storage, as well as electric vehicles.

Latest updates: 
The three projects referred to MPO on November 13, 2025, follow the recent announcement, on the margins of the G7 Energy and Environment Ministerial, of 26 new investments, partnerships and measures to accelerate $6.4 billion in critical minerals projects.

Collectively, these build on the Government of Canada’s efforts through Canada’s Critical Minerals Strategy, led by Natural Resources Canada, to strengthen critical minerals supply chains essential to the defence and economic security of Canada and its allies.

Budget 2025 further accelerated these efforts by introducing a First and Last Mile Fund, and investments through the Defence Industrial Strategy, as well as enhancements to tax measures to support the Canadian critical minerals sector.",N/A,https://www.canada.ca/en/privy-council/major-projects-office/projects/other/referred.html
Transformative Strategies,Polygon,"Highlight NS, NB, PEI, and NFLD",Wind West Atlantic Energy,"Nova Scotia, New Brunswick, Prince Edward Island, Newfoundland and Labrador",,Energy ,Transformative projects,"A project that would leverage over 60 GWs of wind power potential in Nova Scotia, and more across Atlantic Canada, connecting that renewable, emissions-free energy to Eastern and Atlantic Canada to meet rapidly growing demand. The Major Projects Office will advance Wind West Atlantic Energy with proponents to develop the projects and provide the regulatory certainty that attracts private investment and sets a course for long term wind resources development in the Maritime provinces. Wind West could be Canada’s first offshore wind development and will set the scale, direction and trajectory for future growth. Unlocking 5,000 MW in the first phase could produce 24 TWh of clean energy every year and drive billions in new investment and economic activity across Canada, led by the private sector. This Eastern Energy Partnership could include important projects like interties between New Brunswick and Nova Scotia, transmission cables between Prince Edward Island and New Brunswick as well as Quebec’s and Newfoundland and Labrador’s further development of Churchill Falls and Gull Island.

Latest updates: 
To support Nova Scotia’s initial goal of licensing up to 5 GW of offshore wind energy by 2030, in July 2025 the Government of Canada and Province of Nova Scotia jointly designated four areas for potential offshore wind development.

On September 20, 2025, the Government of Canada and Province of Nova Scotia issued joint direction to the Canada–Nova Scotia Offshore Energy Regulator to implement a prequalification process and a Call for Information to support the process to issue the first submerged land licences for offshore wind in Canada. This will help to attract qualified investments and provide an opportunity for the public, Indigenous groups and stakeholders to inform the path forward.

Later in fall 2025, the Canada-Nova Scotia Offshore Energy Regulator is expected to launch the first ever Call for Bids for offshore wind and issue the first submerged land licences in the latter half of 2026.",N/A,https://www.canada.ca/en/privy-council/major-projects-office/projects/other/referred.html
Transformative Strategies,Polygon,Highlight AB,Pathways Plus,Alberta,,Energy ,Transformative projects,"An Alberta-based carbon capture, utilization, and storage project with additional energy infrastructure that would support a strong conventional energy sector while driving down emissions and emissions intensity from the oil sands. Pathways creates the prospect of facilitating low-carbon oil exports from the Alberta oil sands to a variety of potential markets. The Major Projects Office will develop a strategy to build the Pathways project which would reduce upstream emissions from the conventional energy sector, while catalyzing private investment in additional energy infrastructure that would support a strong conventional energy sector while driving down emissions and emissions intensity from the oil sands. The Pathways project represents $16.5B in GDP, $12.2B in labour income, and between 18,500 and 43,000 jobs annually.

Latest updates: 
The federal government and the Government of Alberta have established a working group to discuss how to work together to advance this project. Budget 2025 announced that the government intends to extend the full value of the Carbon Capture, Utilization and Storage Investment Tax Credit (CCUS) by 5 years, from 2031 to 2035, which is expected to help improve project economics.",N/A,https://www.canada.ca/en/privy-council/major-projects-office/projects/other/referred.html
Transformative Strategies,Polygon,Highlight BC and YK,	Northwest Critical Conservation Corridor,"Northwestern British Columbia, Southern Yukon",,"Electricity, Mining",Transformative projects,"Current announced projects referred to MPO linked to this strategy: Red Chris Mine Expansion, North Coast Transmission Line, Ksi Lisims LNG

Canada’s northwestern coast is home to the Golden Triangle - one of the world’s richest reserves of the minerals and metals that are essential for the energy transition as well as defence supply chains for Canada and our allies. It is also one of Canada’s gateways to global markets through the Pacific Ocean, and home to vibrant communities in a spectacular environment rich with mountains, glaciers, watersheds and coastal ecosystems

The Northwest Critical Conservation Corridor: Northwest British Columbia and the Yukon also includes a number of major projects including enabling infrastructure like the North Coast Transmission Line, and resource development like Ksi Lisims LNG (also referred to the MPO today). Working with stakeholders and Rights‑holders towards our shared goals is an important part of this approach unlocking Canada’s economic potential, for the benefit of Canadians.

To finalise investment decisions on all key pieces of infrastructure and conservation areas that support the accelerated development of the Golden Triangle area, this initiative has been referred to the Major Projects Office to set up a coordinated plan for the region. Under the banner of “The Northwest Critical Conservation Corridor: Northwest British Columbia and the Yukon”, the investments needed will be evaluated and accelerated to ensure the potential of the region is achieved. 

Once realized, this Corridor will enhance Canada’s climate competitiveness, fundamentally transform the lives of thousands of Canadians, position Canada as a global leader in critical minerals, and drive prosperity across the country.",N/A,https://www.canada.ca/en/privy-council/major-projects-office/projects/other/referred.html
Projects Referred to MPO,Two points,Transport (dark grey with car),Arctic Economic and Security Corridor,"Slave Geological Province, Northwest Territories","Tłı̨chǫ Government, Dene First Nation, and the Government of the Northwest Territories",Transport,Referred to MPO for consideration ,"The Arctic Economic and Security Corridor (AESC) is a proposed ~400 km all-season road through the Slave Geological Province to the Nunavut border, where it will connect with the Grays Bay Road.

This project is being led by the Tłı̨chǫ Government and Yellowknives Dene First Nation in partnership with the Government of the Northwest Territories, for the economic prosperity of both nations and surrounding communities.

There are ongoing discussions between the Tłı̨chǫ Government, Yellowknives Dene First Nation, and the Government of the Northwest Territories on routing. This includes ongoing community consultations and Indigenous-led studies in the region. The impact assessments, led by co-management boards, provide for broad participation that will help bring forward recommendations to minimize impacts on local wildlife. 

Together with the Grays Bay Road and Port, the AESC will create a new all-season road from Yellowknife to Grays Bay on the Arctic Ocean. These two interconnected projects will create critical export links and enable new resource exploration and development in the mineral-rich Slave Geological Province of the Northwest Territories and Nunavut.

This project, in conjunction with other major Northern Resilience Projects (Mackenzie Valley Highway and the Taltson Hydro Expansion), will create significant opportunities for economic growth, and support Canada’s security, and expanded military presence in the North.

Benefits: 
• Supports unlocking opportunities for critical minerals exploration, expanded military presence and northern sovereignty.
• Provides all-season road access from Yellowknife to Grays Bay Port (once connected to Grays Bay Road).
• Provides the enabling infrastructure to advance mineral exploration and future copper, zinc and gold mine development.

Latest updates: 
The Major Projects Office will work with proponents to determine funding solutions, identify acceleration options, and support and streamline relevant regulatory processes. This work will be carried out while recognizing the unique treaty-based impact assessment framework and local regulatory environment in the Northwest Territories.

Quick facts: 
• Will unlock exploration and development in the mineral-rich Slave Geological Province, including potential for copper, gold and zinc.
• Will provide valuable export access to mines in the Northwest Territories by connecting Yellowknife to a deepwater port at Grays Bay
• Together with the Grays Bay Road, it will establish the first all-season road linking Nunavut to the National Highway System.
• Will establish a critical transportation corridor to a deepwater port and airfield at Grays Bay, which creates potential for dual-use (civilian-military) opportunities.","Start point: 62.45369, -114.370665; End point: 65.419976, -110.917837",https://www.canada.ca/en/privy-council/major-projects-office/projects/national.html
